Regiao,Produto,Vendas
Sul,Produto_A,3791
Sul,Produto_A,239
Sul,Produto_A,1301
Sul,Produto_A,3880
Sul,Produto_A,4126
Sul,Produto_A,4473
Sul,Produto_A,1354
Sul,Produto_A,2807
Sul,Produto_A,1641
Sul,Produto_A,116
Sul,Produto_A,1433
Sul,Produto_A,2021
Sul,Produto_A,3629
Sul,Produto_A,1198
Sul,Produto_A,307
Sul,Produto_A,3309
Sul,Produto_A,2841
Sul,Produto_A,4743
Sul,Produto_A,2069
Sul,Produto_A,991
Sul,Produto_A,543
Sul,Produto_A,406
Sul,Produto_A,3469
Sul,Produto_A,153
Sul,Produto_A,1190
Sul,Produto_A,3477
Sul,Produto_A,831
Sul,Produto_A,2831
Sul,Produto_A,4679
Sul,Produto_A,2136
Sul,Produto_A,1422
Sul,Produto_A,2610
Sul,Produto_A,2926
Sul,Produto_A,2843
Sul,Produto_A,1336
Sul,Produto_A,4705
Sul,Produto_A,1711
Sul,Produto_A,2128
Sul,Produto_A,2394
Sul,Produto_A,1211
Sul,Produto_A,2219
Sul,Produto_A,3635
Sul,Produto_A,1497
Sul,Produto_A,3421
Sul,Produto_A,4496
Sul,Produto_A,4991
Sul,Produto_A,3756
Sul,Produto_A,3786
Sul,Produto_A,1465
Sul,Produto_A,266
Sul,Produto_A,863
Sul,Produto_A,3651
Sul,Produto_A,4996
Sul,Produto_A,1705
Sul,Produto_A,401
Sul,Produto_A,935
Sul,Produto_A,633
Sul,Produto_A,226
Sul,Produto_A,4132
Sul,Produto_A,707
Sul,Produto_A,2727
Sul,Produto_A,3367
Sul,Produto_A,2743
Sul,Produto_A,2335
Sul,Produto_A,1802
Sul,Produto_A,342
Sul,Produto_A,4115
Sul,Produto_A,4419
Sul,Produto_A,1885
Sul,Produto_A,2789
Sul,Produto_A,2182
Sul,Produto_A,4447
Sul,Produto_A,968
Sul,Produto_A,2789
Sul,Produto_A,4153
Sul,Produto_A,2893
Sul,Produto_A,2558
Sul,Produto_A,3920
Sul,Produto_A,2277
Sul,Produto_A,1852
Sul,Produto_A,3695
Sul,Produto_A,493
Sul,Produto_A,640
Sul,Produto_A,3430
Sul,Produto_A,4969
Sul,Produto_A,2463
Sul,Produto_A,1128
Sul,Produto_A,2806
Sul,Produto_A,882
Sul,Produto_A,3785
Sul,Produto_A,4621
Sul,Produto_A,1260
Sul,Produto_A,3874
Sul,Produto_A,1126
Sul,Produto_A,3739
