Regiao,Produto,Vendas
Nordeste,Produto_D,997
Nordeste,Produto_D,184
Nordeste,Produto_D,3640
Nordeste,Produto_D,3985
Nordeste,Produto_D,1939
Nordeste,Produto_D,278
Nordeste,Produto_D,428
Nordeste,Produto_D,3916
Nordeste,Produto_D,2669
Nordeste,Produto_D,4777
Nordeste,Produto_D,1734
Nordeste,Produto_D,4193
Nordeste,Produto_D,4374
Nordeste,Produto_D,4124
Nordeste,Produto_D,1258
Nordeste,Produto_D,790
Nordeste,Produto_D,3644
Nordeste,Produto_D,1332
Nordeste,Produto_D,1903
Nordeste,Produto_D,215
Nordeste,Produto_D,4360
Nordeste,Produto_D,770
Nordeste,Produto_D,4740
Nordeste,Produto_D,4870
Nordeste,Produto_D,1563
Nordeste,Produto_D,4192
Nordeste,Produto_D,3164
Nordeste,Produto_D,3977
Nordeste,Produto_D,143
Nordeste,Produto_D,3750
Nordeste,Produto_D,4879
Nordeste,Produto_D,1365
Nordeste,Produto_D,4206
Nordeste,Produto_D,4112
Nordeste,Produto_D,2844
Nordeste,Produto_D,3912
Nordeste,Produto_D,849
Nordeste,Produto_D,2464
Nordeste,Produto_D,2164
Nordeste,Produto_D,4075
Nordeste,Produto_D,587
Nordeste,Produto_D,1383
Nordeste,Produto_D,3259
Nordeste,Produto_D,2578
Nordeste,Produto_D,2247
Nordeste,Produto_D,685
Nordeste,Produto_D,1550
Nordeste,Produto_D,451
Nordeste,Produto_D,2342
Nordeste,Produto_D,3723
Nordeste,Produto_D,490
Nordeste,Produto_D,814
Nordeste,Produto_D,3758
Nordeste,Produto_D,2340
Nordeste,Produto_D,1133
Nordeste,Produto_D,1519
Nordeste,Produto_D,2341
Nordeste,Produto_D,2098
Nordeste,Produto_D,692
Nordeste,Produto_D,1361
Nordeste,Produto_D,3327
Nordeste,Produto_D,4824
Nordeste,Produto_D,2321
Nordeste,Produto_D,261
Nordeste,Produto_D,3690
Nordeste,Produto_D,257
Nordeste,Produto_D,1209
Nordeste,Produto_D,840
Nordeste,Produto_D,4783
Nordeste,Produto_D,299
Nordeste,Produto_D,842
Nordeste,Produto_D,3942
Nordeste,Produto_D,4233
Nordeste,Produto_D,3670
Nordeste,Produto_D,1159
Nordeste,Produto_D,2374
Nordeste,Produto_D,1875
Nordeste,Produto_D,1773
Nordeste,Produto_D,1152
Nordeste,Produto_D,680
Nordeste,Produto_D,4042
Nordeste,Produto_D,3702
Nordeste,Produto_D,2940
Nordeste,Produto_D,1720
Nordeste,Produto_D,4169
Nordeste,Produto_D,1704
Nordeste,Produto_D,507
Nordeste,Produto_D,2465
Nordeste,Produto_D,4846
Nordeste,Produto_D,954
Nordeste,Produto_D,3637
Nordeste,Produto_D,1803
Nordeste,Produto_D,917
Nordeste,Produto_D,4725
Nordeste,Produto_D,1223
Nordeste,Produto_D,2658
Nordeste,Produto_D,2798
Nordeste,Produto_D,629
Nordeste,Produto_D,1005
Nordeste,Produto_D,1706
Nordeste,Produto_D,323
Nordeste,Produto_D,1685
Nordeste,Produto_D,2461
Nordeste,Produto_D,4348
Nordeste,Produto_D,2927
Nordeste,Produto_D,4877
Nordeste,Produto_D,4545
Nordeste,Produto_D,346
Nordeste,Produto_D,2241
Nordeste,Produto_D,2278
Nordeste,Produto_D,4256
Nordeste,Produto_D,3839
Nordeste,Produto_D,2823
Nordeste,Produto_D,64
Nordeste,Produto_D,4261
Nordeste,Produto_D,2138
Nordeste,Produto_D,2319
Nordeste,Produto_D,4689
Nordeste,Produto_D,2561
Nordeste,Produto_D,2029
Nordeste,Produto_D,4909
Nordeste,Produto_D,1001
Nordeste,Produto_D,4181
Nordeste,Produto_D,149
Nordeste,Produto_D,1672
Nordeste,Produto_D,71
Nordeste,Produto_D,2180
Nordeste,Produto_D,4006
Nordeste,Produto_D,483
Nordeste,Produto_D,4374
Nordeste,Produto_D,3631
Nordeste,Produto_D,4258
Nordeste,Produto_D,4126
Nordeste,Produto_D,10
Nordeste,Produto_D,305
Nordeste,Produto_D,1163
Nordeste,Produto_D,2345
Nordeste,Produto_D,2583
Nordeste,Produto_D,4952
Nordeste,Produto_D,2838
Nordeste,Produto_D,4793
Nordeste,Produto_D,2537
Nordeste,Produto_D,4667
Nordeste,Produto_D,2125
Nordeste,Produto_D,2651
Nordeste,Produto_D,4773
Nordeste,Produto_D,634
Nordeste,Produto_D,4345
Nordeste,Produto_D,2478
Nordeste,Produto_D,1175
Nordeste,Produto_D,3050
Nordeste,Produto_D,3640
Nordeste,Produto_D,534
Nordeste,Produto_D,4238
